,Line 1 Street Address,coordinates
0,3641 SACRAMENTO ST F San Francisco,"(37.7872019, -122.4526518)"
1,2001 VAN NESS AVE San Francisco,"(37.7941344, -122.4234748)"
2,2480 MISSION ST San Francisco,"(37.7574457, -122.4193868)"
3,240 SHOTWELL ST San Francisco,"(37.7645973, -122.4165519)"
4,3727 BUCHANAN ST San Francisco,"(37.8043976, -122.433859)"
5,222 COLUMBUS AVE San Francisco,"(37.79736460000001, -122.4057367)"
6,2645 OCEAN AVE San Francisco,"(37.7317855, -122.4741537)"
7,940 GENEVA AVE San Francisco,"(37.7159357, -122.4406199)"
8,950 STOCKTON ST San Francisco,"(37.7947409, -122.4078892)"
9,2588 MISSION ST San Francisco,"(37.7557134, -122.4190515)"
10,2335 IRVING ST San Francisco,"(37.7631658, -122.4831812)"
11,1234 DIVISADERO ST San Francisco,"(37.7811814, -122.4388139)"
12,402 8TH AVE San Francisco,"(37.7806727, -122.4662535)"
13,342 W PORTAL AVE San Francisco,"(37.7375564, -122.4699599)"
14,220 MONTGOMERY ST San Francisco,"(37.7912876, -122.4019261)"
15,2211 POST ST San Francisco,"(37.7843532, -122.4383215)"
16,2504 CLAY ST San Francisco,"(37.7908814, -122.4345558)"
17,2401 JACKSON ST San Francisco,"(37.7923253, -122.4348272)"
18,4200 CALIFORNIA ST San Francisco,"(37.7854604, -122.462695)"
19,2528 OCEAN AVE San Francisco,"(37.7315782, -122.4726333)"
20,530 BUSH ST San Francisco,"(37.7907945, -122.4060568)"
21,340 W PORTAL AVE San Francisco,"(37.7375903, -122.4699123)"
22,71 6TH ST San Francisco,"(37.7813158, -122.4091566)"
23,2299 POST ST San Francisco,"(37.784118, -122.4391992)"
24,100 BUSH ST San Francisco,"(37.7914786, -122.3999468)"
25,2004 PIERCE ST San Francisco,"(37.7887104, -122.4370488)"
27,1237 VAN NESS AVE San Francisco,"(37.7871698, -122.4220938)"
28,4093 24TH ST San Francisco,"(37.75121559999999, -122.4339649)"
29,2797 UNION ST San Francisco,"(37.7956869, -122.4452191)"
30,3663 SACRAMENTO ST San Francisco,"(37.7872552, -122.4529209)"
32,2508 MISSION ST San Francisco,"(37.7568243, -122.4192215)"
33,222 7TH ST San Francisco,"(37.7774499, -122.4093326)"
34,500 SUTTER ST San Francisco,"(37.7894267, -122.4089026)"
35,490 POST ST San Francisco,"(37.78840539999999, -122.4097688)"
36,1819 UNION ST San Francisco,"(37.7977817, -122.4293525)"
37,2929 24TH ST San Francisco,"(37.7525499, -122.4106641)"
38,728 PACIFIC AVE San Francisco,"(37.7971004, -122.4075113)"
39,1426 FILLMORE ST San Francisco,"(37.7828241, -122.4323695)"
40,595 BUCKINGHAM WAY San Francisco,"(37.730463, -122.4763874)"
41,2339 IRVING ST San Francisco,"(37.7631377, -122.4832395)"
43,57 POST ST San Francisco,"(37.7888616, -122.4029759)"
44,2220 FILLMORE ST San Francisco,"(37.79021540000001, -122.4338538)"
48,899 WASHINGTON ST San Francisco,"(37.7948815, -122.4078213)"
51,540 DAVIS ST San Francisco,"(37.7975345, -122.3982746)"
